issn,journal_name,oa_model,apc,file,year
0123-5923,Estudios Gerenciales,Open Access,0,Elsevier OA Price List 2017,2017
0123-9392,INFECTIO,Open Access,0,Elsevier OA Price List 2016,2016
0140-6701,Fuel and Energy Abstracts,Hybrid,3000,Elsevier OA Price List 2017,2017
0162-0134,Journal of Inorganic Biochemistry,Hybrid,3300,Elsevier OA Price List 2017,2017
0163-4453,Journal of Infection,Hybrid,3000,Elsevier OA Price List 2017,2017
0165-0173,Brain Research Reviews,Hybrid,NA,Elsevier Hybrid Journals 2013,2013
0165-022X,Journal of Biochemical and Biophysical Methods,Hybrid,NA,Elsevier Hybrid Journals 2013,2013
0165-1838,Journal of the Autonomic Nervous System,Hybrid,NA,Elsevier Hybrid Journals 2013,2013
0165-4608,Cancer Genetics and Cytogenetics,Hybrid,NA,Elsevier Hybrid Journals 2013,2013
0166-1280,Journal of Molecular Structure: THEOCHEM,Hybrid,NA,Elsevier Hybrid Journals 2013,2013
0167-0115,Regulatory Peptides,Hybrid,3000,Elsevier OA Price List 2015,2015
0167-4781,BBA - Gene Structure and Expression,Hybrid,NA,Elsevier Hybrid Journals 2013,2013
0167-4838,BBA - Protein Structure and Molecular Enzymology,Hybrid,NA,Elsevier Hybrid Journals 2013,2013
0167-6296,Journal of Health Economics,Hybrid,1800,Elsevier OA Price List 2017,2017
0167-8140,Radiotherapy and Oncology,Hybrid,EUR 1850,Elsevier OA Price List 2015,2015
0168-8278,Journal of Hepatology,Hybrid,3000,Elsevier OA Price List 2017,2017
0181-9801,Feuillets de Radiologie,Hybrid,3000,Elsevier OA Price List 2016,2016
0183-2980,Soins Cadres,Hybrid,3000,Elsevier OA Price List 2016,2016
0185-0849,Economía Informa,Open Access,0,Elsevier OA Price List 2017,2017
0185-1225,Anales de Antropología,Open Access,0,Elsevier OA Price List 2017,2017
0185-1616,Estudios Políticos,Open Access,0,Elsevier OA Price List 2017,2017
0185-1667,Investigación Económica,Open Access,0,Elsevier OA Price List 2017,2017
0185-1918,Revista Mexicana de Ciencias Políticas y Sociales,Open Access,0,Elsevier OA Price List 2017,2017
0185-2620,Estudios de Historia Moderna y Contemporánea de México,Open Access,0,Elsevier OA Price List 2017,2017
0185-2698,Perfiles Educativos,Open Access,0,Elsevier OA Price List 2017,2017
0185-2760,Revista de la educación superior,Open Access,0,Elsevier OA Price List 2017,2017
0186-6028,Acta Sociológica,Open Access,0,Elsevier OA Price List 2017,2017
0187-6236,Atmósfera,Open Access,0,Elsevier OA Price List 2017,2017
0187-893X,Educación Química,Open Access,0,Elsevier OA Price List 2017,2017
0188-4611,"Investigaciones Geográficas, Boletín del Instituto de Geografía",Open Access,0,Elsevier OA Price List 2017,2017
0188-9893,Endoscopia,Open Access,0,Elsevier OA Price List 2016,2016
0189-8965,Journal of the Nigerian Mathematical Society,Open Access,N/A,Elsevier OA Price List 2015,2015
0191-6599,History of European Ideas,Hybrid,NA,Elsevier Hybrid Journals 2013,2013
0194-6595,International Journal of the Sociology of Law,Hybrid,NA,Elsevier Hybrid Journals 2013,2013
0195-6701,Journal of Hospital Infection,Hybrid,3000,Elsevier OA Price List 2017,2017
0197-2456,Controlled Clinical Trials,Hybrid,NA,Elsevier Hybrid Journals 2013,2013
0210-0266,Cuadernos de Economía,Hybrid,3000,Elsevier OA Price List 2017,2017
0210-2773,Aula Abierta,Open Access,0,Elsevier OA Price List 2016,2016
0212-6796,Magister,Hybrid,3000,Elsevier OA Price List 2016,2016
0213-1315,Revista Internacional de Métodos Numéricos para Cálculo y Diseño en Ingeniería,Open Access,0,Elsevier OA Price List 2017,2017
0213-9324,Farmacia Profesional,Hybrid,3000,Elsevier OA Price List 2015,2015
0242-648X,Journal de réadaptation médicale,Hybrid,3000,Elsevier OA Price List 2016,2016
0261-3069,Materials and Design,Hybrid,2500,Elsevier OA Price List 2015,2015
0261-5606,Journal of International Money and Finance,Hybrid,1800,Elsevier OA Price List 2017,2017
0272-6386,American Journal of Kidney Diseases,Hybrid,3000,Elsevier OA Price List 2017,2017
0276-1092,Year Book of Orthopedics,Hybrid,3000,Elsevier OA Price List 2016,2016
0301-6226,Livestock Production Science,Hybrid,NA,Elsevier Hybrid Journals 2013,2013
0301-7036,Problemas del Desarrollo,Open Access,0,Elsevier OA Price List 2017,2017
0304-3894,Journal of Hazardous Materials,Hybrid,2500,Elsevier OA Price List 2017,2017
0304-3959,Pain,Hybrid,3000,Elsevier OA Price List 2015,2015
0304-4181,Journal of Medieval History,Hybrid,NA,Elsevier Hybrid Journals 2013,2013
0304-5013,Progresos de obstetricia y ginecología,Hybrid,3000,Elsevier OA Price List 2017,2017
0305-7488,Journal of Historical Geography,Hybrid,750,Elsevier OA Price List 2017,2017
0306-3623,General Pharmacology,Hybrid,NA,Elsevier Hybrid Journals 2013,2013
0361-090X,Cancer Detection and Prevention,Hybrid,NA,Elsevier Hybrid Journals 2013,2013
